unique_id,ds,cutoff,xLSTM,xLSTM-median,xLSTM-lo-90,xLSTM-hi-90,y
GLD,2011-07-15,2011-06-30,0.529,1.0,0.0,1.0,1
GLD,2011-07-18,2011-07-15,0.544,1.0,0.0,1.0,1
GLD,2011-07-19,2011-07-15,0.483,0.0,0.0,1.0,1
GLD,2011-07-20,2011-07-15,0.493,0.0,0.0,1.0,1
GLD,2011-07-21,2011-07-15,0.52,1.0,0.0,1.0,1
GLD,2011-07-22,2011-07-15,0.513,1.0,0.0,1.0,1
GLD,2011-07-25,2011-07-15,0.616,1.0,0.0,1.0,1
GLD,2011-07-26,2011-07-15,0.484,0.0,0.0,1.0,1
GLD,2011-07-27,2011-07-15,0.417,0.0,0.0,1.0,1
GLD,2011-07-28,2011-07-15,0.608,1.0,0.0,1.0,1
GLD,2011-07-29,2011-07-15,0.594,1.0,0.0,1.0,1
GLD,2011-08-01,2011-07-29,0.509,1.0,0.0,1.0,1
GLD,2011-08-02,2011-07-29,0.518,1.0,0.0,1.0,1
GLD,2011-08-03,2011-07-29,0.489,0.0,0.0,1.0,1
GLD,2011-08-04,2011-07-29,0.435,0.0,0.0,1.0,1
GLD,2011-08-05,2011-07-29,0.551,1.0,0.0,1.0,1
GLD,2011-08-08,2011-07-29,0.472,0.0,0.0,1.0,1
GLD,2011-08-09,2011-07-29,0.481,0.0,0.0,1.0,1
GLD,2011-08-10,2011-07-29,0.539,1.0,0.0,1.0,1
GLD,2011-08-11,2011-07-29,0.516,1.0,0.0,1.0,1
GLD,2011-08-12,2011-07-29,0.509,1.0,0.0,1.0,1
GLD,2011-08-15,2011-08-12,0.452,0.0,0.0,1.0,1
GLD,2011-08-16,2011-08-12,0.53,1.0,0.0,1.0,1
GLD,2011-08-17,2011-08-12,0.507,1.0,0.0,1.0,1
GLD,2011-08-18,2011-08-12,0.486,0.0,0.0,1.0,1
GLD,2011-08-19,2011-08-12,0.53,1.0,0.0,1.0,1
GLD,2011-08-22,2011-08-12,0.516,1.0,0.0,1.0,1
GLD,2011-08-23,2011-08-12,0.519,1.0,0.0,1.0,1
GLD,2011-08-24,2011-08-12,0.555,1.0,0.0,1.0,0
GLD,2011-08-25,2011-08-12,0.506,1.0,0.0,1.0,1
GLD,2011-08-26,2011-08-12,0.488,0.0,0.0,1.0,1
GLD,2011-08-29,2011-08-26,0.497,0.0,0.0,1.0,1
GLD,2011-08-30,2011-08-26,0.536,1.0,0.0,1.0,1
GLD,2011-08-31,2011-08-26,0.486,0.0,0.0,1.0,1
GLD,2011-09-01,2011-08-26,0.492,0.0,0.0,1.0,1
GLD,2011-09-02,2011-08-26,0.561,1.0,0.0,1.0,1
GLD,2011-09-06,2011-08-26,0.511,1.0,0.0,1.0,0
GLD,2011-09-07,2011-08-26,0.564,1.0,0.0,1.0,0
GLD,2011-09-08,2011-08-26,0.569,1.0,0.0,1.0,1
GLD,2011-09-09,2011-08-26,0.539,1.0,0.0,1.0,1
GLD,2011-09-12,2011-08-26,0.492,0.0,0.0,1.0,0
GLD,2011-09-13,2011-09-12,0.501,1.0,0.0,1.0,1
GLD,2011-09-14,2011-09-12,0.524,1.0,0.0,1.0,0
GLD,2011-09-15,2011-09-12,0.524,1.0,0.0,1.0,0
GLD,2011-09-16,2011-09-12,0.522,1.0,0.0,1.0,0
GLD,2011-09-19,2011-09-12,0.53,1.0,0.0,1.0,0
GLD,2011-09-20,2011-09-12,0.562,1.0,0.0,1.0,0
GLD,2011-09-21,2011-09-12,0.476,0.0,0.0,1.0,0
GLD,2011-09-22,2011-09-12,0.52,1.0,0.0,1.0,0
GLD,2011-09-23,2011-09-12,0.593,1.0,0.0,1.0,0
GLD,2011-09-26,2011-09-12,0.583,1.0,0.0,1.0,0
GLD,2011-09-27,2011-09-26,0.507,1.0,0.0,1.0,0
GLD,2011-09-28,2011-09-26,0.516,1.0,0.0,1.0,0
GLD,2011-09-29,2011-09-26,0.478,0.0,0.0,1.0,0
GLD,2011-09-30,2011-09-26,0.461,0.0,0.0,1.0,0
GLD,2011-10-03,2011-09-26,0.488,0.0,0.0,1.0,0
GLD,2011-10-04,2011-09-26,0.541,1.0,0.0,1.0,0
GLD,2011-10-05,2011-09-26,0.49,0.0,0.0,1.0,0
GLD,2011-10-06,2011-09-26,0.55,1.0,0.0,1.0,0
GLD,2011-10-07,2011-09-26,0.51,1.0,0.0,1.0,0
GLD,2011-10-10,2011-09-26,0.562,1.0,0.0,1.0,1
GLD,2011-10-11,2011-10-10,0.52,1.0,0.0,1.0,1
GLD,2011-10-12,2011-10-10,0.535,1.0,0.0,1.0,1
GLD,2011-10-13,2011-10-10,0.528,1.0,0.0,1.0,1
GLD,2011-10-14,2011-10-10,0.496,0.0,0.0,1.0,1
GLD,2011-10-17,2011-10-10,0.445,0.0,0.0,1.0,1
GLD,2011-10-18,2011-10-10,0.532,1.0,0.0,1.0,1
GLD,2011-10-19,2011-10-10,0.552,1.0,0.0,1.0,1
GLD,2011-10-20,2011-10-10,0.581,1.0,0.0,1.0,0
GLD,2011-10-21,2011-10-10,0.491,0.0,0.0,1.0,1
GLD,2011-10-24,2011-10-10,0.511,1.0,0.0,1.0,0
GLD,2011-10-25,2011-10-24,0.552,1.0,0.0,1.0,1
GLD,2011-10-26,2011-10-24,0.515,1.0,0.0,1.0,1
GLD,2011-10-27,2011-10-24,0.497,0.0,0.0,1.0,1
GLD,2011-10-28,2011-10-24,0.545,1.0,0.0,1.0,1
GLD,2011-10-31,2011-10-24,0.484,0.0,0.0,1.0,1
GLD,2011-11-01,2011-10-24,0.547,1.0,0.0,1.0,1
GLD,2011-11-02,2011-10-24,0.514,1.0,0.0,1.0,1
GLD,2011-11-03,2011-10-24,0.483,0.0,0.0,1.0,1
